ticket_id,customer_id,created_at,issue_type,subject,message,reported_severity,customer_mood,times_contacted_about_this
TICK-00001,CUST-0053,2026-08-14 01:50,payment_failure,Payments are not going through,"Hi there, Card charges keep failing at the final step. Thanks for your help.",High,calm,1
TICK-00002,CUST-0061,2026-07-24 08:50,notification_failure,Alerts stopped,"Good morning, We used to get a notification for every new entry and they have gone quiet. Thanks for your help.",Low,calm,1
TICK-00003,CUST-0169,2026-07-09 04:50,slow_performance,Search is crawling,This is unacceptable. Running a search takes almost a minute to return anything. We expect a reply today.,Medium,angry,1
TICK-00004,CUST-0183,2026-07-06 23:50,api_failure,Authentication failing on API,"Hi there, Our key worked yesterday and is now rejected on every call. Thanks for your help.",Critical,calm,1
TICK-00005,CUST-0110,2026-07-16 21:50,api_failure,API timing out,This is now the third time I am writing. Requests hang for thirty seconds and then fail. We are considering cancelling.,Medium,angry,1
TICK-00006,CUST-0171,2026-07-10 16:50,password_reset,New password not accepted,"Hello again, I changed my password and now the new one is rejected. Hoping for a quick reply.",Medium,annoyed,1
TICK-00007,CUST-0058,2026-08-06 01:50,how_to_question,Where do I find my invoices,We need this dealt with today. I have looked in settings and cannot see a billing history anywhere. We expect a reply today.,Low,angry,1
TICK-00008,CUST-0047,2026-06-02 14:50,how_to_question,Where do I find my invoices,"Hello, I have looked in settings and cannot see a billing history anywhere. Thanks for your help.",Low,calm,1
TICK-00009,CUST-0194,2026-03-26 16:50,notification_failure,Alerts stopped,"Good morning, We used to get a notification for every new entry and they have gone quiet. No rush, whenever you get a chance.",Medium,calm,1
TICK-00010,CUST-0057,2026-05-08 05:50,billing_error,Charged the wrong amount,"Hello, The invoice does not match the plan we are on. No rush, whenever you get a chance.",Medium,calm,1
TICK-00011,CUST-0011,2026-03-25 11:50,slow_performance,Search is crawling,"Good morning, Running a search takes almost a minute to return anything. No rush, whenever you get a chance.",Low,calm,1
TICK-00012,CUST-0063,2026-04-23 08:50,slow_performance,Slow since the update,"Hi there, Everything has been sluggish since the change you made last week. Thanks for your help.",Low,calm,1
TICK-00013,CUST-0038,2026-02-27 09:50,data_export_failure,Corrupted export file,"Hello, The file downloads but will not open in Excel. Thanks for your help.",Low,calm,1
TICK-00014,CUST-0039,2026-02-22 20:50,slow_performance,Slow since the update,"Hi, Everything has been sluggish since the change you made last week. Hoping for a quick reply.",Low,annoyed,1
TICK-00015,CUST-0119,2026-03-05 16:50,notification_failure,Notifications arriving late,"Hi, Alerts turn up about six hours after the thing happened. Hoping for a quick reply.",Critical,annoyed,1
TICK-00016,CUST-0113,2026-07-28 04:50,slow_performance,Search is crawling,"Hi there, Running a search takes almost a minute to return anything. No rush, whenever you get a chance.",Medium,calm,1
TICK-00017,CUST-0037,2026-07-17 02:50,password_reset,Password reset needed,"Following up on this, The reset link never arrives in my inbox. This is holding us up.",Low,annoyed,1
TICK-00018,CUST-0093,2026-06-23 03:50,security_incident,Suspicious activity on our account,This is now the third time I am writing. There are logins from a country none of our staff are in. We are considering cancelling.,Critical,angry,1
TICK-00019,CUST-0047,2026-05-25 23:50,how_to_question,How do I do this,This is unacceptable. I cannot work out where to change the account settings. Please escalate this immediately.,Medium,angry,2
TICK-00020,CUST-0174,2026-03-25 03:50,password_reset,Reset email not arriving,"Good morning, I have requested a new password four times and nothing comes through. Many thanks.",Medium,calm,1
TICK-00021,CUST-0027,2026-06-25 17:50,dashboard_bug,Numbers do not match,"Hi there, The total on the dashboard is different to the total in the report. Many thanks.",Medium,calm,1
TICK-00022,CUST-0061,2026-04-22 14:50,billing_error,Charged the wrong amount,"Good morning, The invoice does not match the plan we are on. Many thanks.",Low,calm,2
TICK-00023,CUST-0056,2026-05-04 05:50,how_to_question,How do I do this,"Hello again, I cannot work out where to change the account settings. Please could someone look at this.",Low,annoyed,1
TICK-00024,CUST-0132,2026-06-12 02:50,notification_failure,Not receiving emails,"Good morning, Alert emails are not arriving in any of our inboxes. No rush, whenever you get a chance.",High,calm,1
TICK-00025,CUST-0163,2026-07-10 15:50,billing_error,Charged the wrong amount,"Hello again, The invoice does not match the plan we are on. Please could someone look at this.",Medium,annoyed,1
TICK-00026,CUST-0047,2026-07-31 17:50,how_to_question,How do I do this,This is now the third time I am writing. I cannot work out where to change the account settings. We are considering cancelling.,Medium,angry,3
TICK-00027,CUST-0074,2026-03-17 22:50,billing_error,Double charged this month,"Hello again, We have two identical charges on the same date. Hoping for a quick reply.",High,annoyed,1
TICK-00028,CUST-0155,2026-05-02 10:50,password_reset,Reset email not arriving,"Good morning, I have requested a new password four times and nothing comes through. No rush, whenever you get a chance.",Low,calm,1
TICK-00029,CUST-0158,2026-03-29 09:50,password_reset,Password reset needed,We need this dealt with today. The reset link never arrives in my inbox. We expect a reply today.,Low,angry,1
TICK-00030,CUST-0200,2026-04-10 01:50,dashboard_bug,Chart will not load,This is unacceptable. One panel stays blank no matter how many times I refresh. Please escalate this immediately.,Medium,angry,1
TICK-00031,CUST-0189,2026-05-09 13:50,login_failure,Team cannot log in,"Hello again, Four of my colleagues are getting an invalid credentials message. Please could someone look at this.",High,annoyed,1
TICK-00032,CUST-0082,2026-06-16 14:50,dashboard_bug,Numbers do not match,"Hello, The total on the dashboard is different to the total in the report. Many thanks.",Medium,calm,1
TICK-00033,CUST-0095,2026-03-04 15:50,slow_performance,The platform is very slow,"Hi there, Pages take around thirty seconds to load. No rush, whenever you get a chance.",High,calm,1
TICK-00034,CUST-0089,2026-07-27 03:50,payment_failure,Payments are not going through,"Hi there, Card charges keep failing at the final step. Many thanks.",Critical,calm,1
TICK-00035,CUST-0163,2026-06-18 11:50,password_reset,Password reset needed,"Following up on this, The reset link never arrives in my inbox. This is holding us up.",Low,annoyed,2
TICK-00036,CUST-0008,2026-08-04 16:50,payment_failure,Card declined for everyone,"Hello again, Every transaction today has been rejected, including test cards. This is holding us up.",Critical,annoyed,1
TICK-00037,CUST-0016,2026-04-28 01:50,login_failure,Cannot sign in,"Hi there, The login page rejects our details even after a reset. Many thanks.",Medium,calm,1
TICK-00038,CUST-0037,2026-04-30 07:50,payment_failure,Payments are not going through,"Hi, Card charges keep failing at the final step. Hoping for a quick reply.",Medium,annoyed,2
TICK-00039,CUST-0118,2026-03-07 09:50,password_reset,New password not accepted,"Good morning, I changed my password and now the new one is rejected. Many thanks.",Medium,calm,1
TICK-00040,CUST-0103,2026-05-11 13:50,compliance_request,Subject access request,"Good morning, A customer has asked for a copy of everything you hold on them. No rush, whenever you get a chance.",Medium,calm,1
TICK-00041,CUST-0011,2026-02-20 01:50,compliance_request,Subject access request,"Hi, A customer has asked for a copy of everything you hold on them. This is holding us up.",Low,annoyed,2
TICK-00042,CUST-0126,2026-05-02 00:50,dashboard_bug,Chart will not load,"Hi, One panel stays blank no matter how many times I refresh. Hoping for a quick reply.",Low,annoyed,1
TICK-00043,CUST-0159,2026-08-08 13:50,feature_request,Dark mode request,"Hi, Any chance of a dark theme, we work late most evenings. Please could someone look at this.",High,annoyed,1
